query_id,query_type,query,intent,candidate_id,document_id,matter_id,chunk_id,retrieved_by,bm25_rank,vector_rank,metadata_rank,matter_rank,hierarchical_rank,graph_seed_rank,similar_matter_rank,graph_expansion_rank,bm25_score,vector_score,metadata_score,matter_score,hierarchical_score,graph_seed_score,similar_matter_score,graph_expansion_score,rrf_score,rrf_rank,reranker_score,reranker_rank,final_score,final_rank,is_relevant,relevance_grade,gold_kind,matter_stage_score,doc_stage_score,hierarchy_label
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-11887-C000,DOC-11887,MTR-2017-00311,DOC-11887-C000,vector,,15,,,,,,,,0.4355966242191175,,,,,,,0.017333,15,0.775,1,0.775,1,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-18300-C000,DOC-18300,MTR-2017-00483,DOC-18300-C000,graph_expansion,,,,,,,,14,,,,,,,,0.5,0.013514,41,0.7673962529497295,2,0.7673962529497295,2,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-05414-C000,DOC-05414,MTR-2022-00142,DOC-05414-C000,vector,,4,,,,,,,,0.4571896033641629,,,,,,,0.020313,4,0.7492298524539366,3,0.7492298524539366,3,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-25027-C000,DOC-25027,MTR-2019-00656,DOC-25027-C000,vector,,19,,,,,,,,0.4276928815475569,,,,,,,0.016456,19,0.7483174028079042,4,0.7483174028079042,4,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-25014-C000,DOC-25014,MTR-2019-00656,DOC-25014-C000,vector,,17,,,,,,,,0.43082861396160044,,,,,,,0.016883,17,0.7455446571162968,5,0.7455446571162968,5,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-27750-C000,DOC-27750,MTR-2017-00722,DOC-27750-C000,graph_expansion,,,,,,,,20,,,,,,,,0.5,0.0125,47,0.7373824279550926,6,0.7373824279550926,6,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-01626-C000,DOC-01626,MTR-2025-00043,DOC-01626-C000,vector,,12,,,,,,,,0.43830514892683947,,,,,,,0.018056,12,0.6945287583724644,7,0.6945287583724644,7,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-01629-C000,DOC-01629,MTR-2025-00043,DOC-01629-C000,vector,,16,,,,,,,,0.4323522537069564,,,,,,,0.017105,16,0.6869145233952281,8,0.6869145233952281,8,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-05404-C000,DOC-05404,MTR-2022-00142,DOC-05404-C000,vector,,1,,,,,,,,0.47018025548877806,,,,,,,0.021311,1,0.6738754081948848,9,0.6738754081948848,9,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-04448-C000,DOC-04448,MTR-2017-00116,DOC-04448-C000,graph_expansion,,,,,,,,6,,,,,,,,0.5,0.015152,31,0.6734401592258004,10,0.6734401592258004,10,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-01643-C000,DOC-01643,MTR-2025-00043,DOC-01643-C000,vector,,10,,,,,,,,0.4487916766156772,,,,,,,0.018571,10,0.6684924796796414,11,0.6684924796796414,11,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-01610-C000,DOC-01610,MTR-2025-00043,DOC-01610-C000,vector,,14,,,,,,,,0.4371899496671591,,,,,,,0.017568,14,0.6665876099444616,12,0.6665876099444616,12,0,0,none,,,
Q-0380,negative,Have we advised on space debris liability treaties?,semantic,DOC-01633-C000,DOC-01633,MTR-2025-00043,DOC-01633-C000,vector,,13,,,,,,,,0.4374466035467347,,,,,,,0.017808,13,0.6664735537387076,13,0.6664735537387076,13,0,0,none,,,
