query_id,query_type,query,intent,candidate_id,document_id,matter_id,chunk_id,retrieved_by,bm25_rank,vector_rank,metadata_rank,matter_rank,hierarchical_rank,graph_seed_rank,similar_matter_rank,graph_expansion_rank,bm25_score,vector_score,metadata_score,matter_score,hierarchical_score,graph_seed_score,similar_matter_score,graph_expansion_score,rrf_score,rrf_rank,reranker_score,reranker_rank,final_score,final_rank,is_relevant,relevance_grade,gold_kind,matter_stage_score,doc_stage_score,hierarchy_label
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37302-C000,DOC-37302,MTR-2020-00974,DOC-37302-C000,bm25|metadata,29,,1,,,,,,0.2126923,,1.0,,,,,,0.032787,1,,1,0.032787,1,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37303-C000,DOC-37303,MTR-2020-00974,DOC-37303-C000,bm25|metadata,35,,2,,,,,,0.18,,1.0,,,,,,0.032258,2,,2,0.032258,2,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37304-C000,DOC-37304,MTR-2020-00974,DOC-37304-C000,bm25|metadata,36,,3,,,,,,0.18,,1.0,,,,,,0.031746,3,,3,0.031746,3,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37305-C000,DOC-37305,MTR-2020-00974,DOC-37305-C000,bm25|metadata,22,,4,,,,,,0.333125,,1.0,,,,,,0.03125,4,,4,0.03125,4,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37306-C000,DOC-37306,MTR-2020-00974,DOC-37306-C000,bm25|metadata,25,,5,,,,,,0.333125,,1.0,,,,,,0.030769,5,,5,0.030769,5,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37307-C000,DOC-37307,MTR-2020-00974,DOC-37307-C000,bm25|metadata,4,,6,,,,,,0.333125,,1.0,,,,,,0.030303,6,,6,0.030303,6,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37308-C000,DOC-37308,MTR-2020-00974,DOC-37308-C000,bm25|metadata,6,,7,,,,,,0.333125,,1.0,,,,,,0.029851,7,,7,0.029851,7,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37309-C000,DOC-37309,MTR-2020-00974,DOC-37309-C000,metadata,,,8,,,,,,,,1.0,,,,,,0.029412,8,,8,0.029412,8,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37310-C000,DOC-37310,MTR-2020-00974,DOC-37310-C000,metadata,,,9,,,,,,,,1.0,,,,,,0.028986,9,,9,0.028986,9,0,0,document,,,
Q-0001,exact,What is the matter code for Singh-Srinivas Holdings — Share Purchase Agreement?,exact_lookup,DOC-37311-C000,DOC-37311,MTR-2020-00974,DOC-37311-C000,bm25|metadata,37,,10,,,,,,0.18,,1.0,,,,,,0.028571,10,,10,0.028571,10,0,0,document,,,
